viewport,state,element,text
common,all,page_title,"Коробка отпущения"
common,all,h1,"Вот она, родимая"
common,all,back_button,"Назад"
common,all,share_button,"Поделиться"
common,all,download_button,"Сохранить на память"
mobile,pending_base,loader_title,"Пакуем наболевшее!"
mobile,pending_base,loader_copy,"15 секунд"
desktop,pending_base,loader_title,"Пакуем наболевшее!"
desktop,pending_base,loader_copy,"15 секунд"
desktop,pending_base,sidebar_kicker,"Подготовка к отправке"
desktop,pending_base,sidebar_title,"Заклеиваем коробку"
desktop,pending_base,sidebar_copy,"Утрамбовываем эмоции и щедро обматываем скотчем. Ещё пара секунд — и коробка появится на экране."
mobile,pending_long,loader_title,"Пакуем наболевшее!"
mobile,pending_long,loader_copy,"15 секунд"
desktop,pending_long,loader_title,"Пакуем наболевшее!"
desktop,pending_long,loader_copy,"15 секунд"
desktop,pending_long,sidebar_kicker,"Подготовка к отправке"
desktop,pending_long,sidebar_title,"Эмоций оказалось многовато"
desktop,pending_long,sidebar_copy,"Коробка сопротивляется! Если за минуту не закроем крышку — вернитесь на шаг назад, попробуем заново."
mobile,loading_ready_video,loader_title,"Почти готово!"
mobile,loading_ready_video,loader_copy,"Достаём маркер"
desktop,loading_ready_video,loader_title,"Почти готово!"
desktop,loading_ready_video,loader_copy,"Достаём маркер"
desktop,loading_ready_video,sidebar_kicker,"Финишная прямая"
desktop,loading_ready_video,sidebar_title,"Ставим на полку"
desktop,loading_ready_video,sidebar_copy,"Коробка надёжно запечатана. Сейчас покажем её вам, и посылку можно будет смело отправлять."
mobile,success,buttons,"Только общие кнопки без дополнительных текстов состояния"
desktop,success,sidebar_kicker,"Готово!"
desktop,success,sidebar_title,"Можно отправлять"
desktop,success,sidebar_copy,"Ваша коробка отпущения собрана. Отправьте её тем, кто вас понимает, или скачайте на память об этом переезде."
mobile,stale_link,loader_title,"Коробка потерялась"
mobile,stale_link,loader_copy,"Вернитесь и попробуйте ещё раз"
desktop,stale_link,loader_title,"Коробка потерялась"
desktop,stale_link,loader_copy,"Вернитесь и попробуйте ещё раз"
desktop,stale_link,sidebar_kicker,"Ой-ой"
desktop,stale_link,sidebar_title,"Посылка не найдена"
desktop,stale_link,sidebar_copy,"Коробка затерялась на складе, достать её уже не выйдет. Вернитесь на шаг назад, чтобы собрать новую!"
mobile,render_error,loader_title,"Скотч отклеился"
mobile,render_error,loader_copy,"Попробуйте ещё раз"
mobile,render_error,status,"Упаковка сорвалась"
desktop,render_error,loader_title,"Скотч отклеился"
desktop,render_error,loader_copy,"Попробуйте ещё раз"
desktop,render_error,sidebar_kicker,"Что-то пошло не так"
desktop,render_error,sidebar_title,"Коробка порвалась"
desktop,render_error,sidebar_copy,"Картон не выдержал накала страстей. Вернитесь назад — возьмём коробку поплотнее и попробуем ещё раз."
